epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,31232.6,0.13183,0.42958,0.76369,0.94066,0.87634,0.92198,0.92161,0.10045,0.39257,0.78766,0.00344125,0.00344125,0.00344125
55,31797,0.12889,0.42816,0.76362,0.93656,0.87999,0.92235,0.92196,0.1002,0.39212,0.78847,0.0033175,0.0033175,0.0033175
56,32362.6,0.12672,0.42377,0.76399,0.93679,0.87762,0.92255,0.92226,0.098,0.39408,0.78828,0.00319375,0.00319375,0.00319375
57,32927.7,0.1264,0.413,0.76285,0.938,0.87665,0.92204,0.92177,0.09883,0.3918,0.78744,0.00307,0.00307,0.00307
58,33492.9,0.12443,0.40953,0.76307,0.94102,0.87763,0.92241,0.92205,0.09725,0.39164,0.78734,0.00294625,0.00294625,0.00294625
59,34052,0.12222,0.40562,0.76255,0.93728,0.88182,0.92259,0.92224,0.09674,0.39281,0.78751,0.0028225,0.0028225,0.0028225
60,34617.1,0.12016,0.39927,0.76236,0.93597,0.87898,0.92188,0.92169,0.09571,0.39587,0.78719,0.00269875,0.00269875,0.00269875
61,35177.8,0.11941,0.39286,0.76215,0.93471,0.88012,0.92262,0.92234,0.0947,0.39048,0.78708,0.002575,0.002575,0.002575
62,35742.8,0.11704,0.38879,0.76151,0.93895,0.88091,0.92218,0.92193,0.09422,0.39407,0.78688,0.00245125,0.00245125,0.00245125
63,36312.8,0.1166,0.38368,0.76135,0.93605,0.87995,0.92079,0.92057,0.09521,0.3956,0.7863,0.0023275,0.0023275,0.0023275
64,36878.9,0.11518,0.37592,0.76157,0.94069,0.87701,0.92068,0.9205,0.09395,0.39806,0.78641,0.00220375,0.00220375,0.00220375
65,37442.6,0.11399,0.37025,0.76043,0.935,0.87963,0.92006,0.91987,0.09339,0.39729,0.78621,0.00208,0.00208,0.00208
66,38011,0.11218,0.36608,0.76134,0.93629,0.88027,0.92068,0.92051,0.09233,0.39725,0.78607,0.00195625,0.00195625,0.00195625
67,38575.9,0.11073,0.36034,0.76083,0.93854,0.87929,0.92071,0.92048,0.0924,0.40078,0.78581,0.0018325,0.0018325,0.0018325
68,39141.7,0.1096,0.35391,0.76102,0.9365,0.88195,0.92042,0.92022,0.09235,0.40089,0.7857,0.00170875,0.00170875,0.00170875
69,39705.3,0.10868,0.35012,0.76106,0.93758,0.88272,0.92019,0.92001,0.09099,0.39942,0.78546,0.001585,0.001585,0.001585
70,40271.6,0.10742,0.34442,0.75955,0.93247,0.88367,0.92059,0.92047,0.09117,0.40246,0.78554,0.00146125,0.00146125,0.00146125
71,40850.6,0.10683,0.3385,0.76088,0.93369,0.88265,0.92028,0.92013,0.09112,0.40596,0.7853,0.0013375,0.0013375,0.0013375
72,41424,0.10599,0.33311,0.76024,0.93752,0.88205,0.91951,0.91934,0.09046,0.40773,0.78515,0.00121375,0.00121375,0.00121375
73,41997.3,0.10459,0.32887,0.76044,0.93442,0.88366,0.91963,0.91948,0.08903,0.40661,0.78491,0.00109,0.00109,0.00109
74,42569.9,0.10429,0.32228,0.76013,0.93455,0.88251,0.91927,0.91915,0.08966,0.41004,0.78497,0.00096625,0.00096625,0.00096625
75,43158,0.10376,0.31834,0.75997,0.92796,0.88501,0.91772,0.91759,0.08951,0.41388,0.78484,0.0008425,0.0008425,0.0008425
76,43754,0.10273,0.31225,0.75917,0.93333,0.88449,0.91819,0.91805,0.08911,0.41292,0.78478,0.00071875,0.00071875,0.00071875
77,44349.2,0.10268,0.30882,0.76032,0.92337,0.88727,0.91844,0.9183,0.08888,0.41399,0.78471,0.000595,0.000595,0.000595
78,44944.2,0.10204,0.30411,0.75958,0.93056,0.88352,0.91817,0.91802,0.08901,0.41957,0.78446,0.00047125,0.00047125,0.00047125
79,45536.1,0.1016,0.29973,0.75888,0.92525,0.88499,0.91765,0.91753,0.0885,0.42296,0.7847,0.0003475,0.0003475,0.0003475
80,46131.5,0.10118,0.29576,0.76007,0.92912,0.88497,0.91746,0.91735,0.08829,0.42072,0.78445,0.00022375,0.00022375,0.00022375
